sample_id	tissue	cell_type	replicate	type	strand	condition
curdlan_bm_gmp_R1	bm	gmp	R1	PE	none	curdlan
curdlan_bm_gmp_R2	bm	gmp	R2	PE	none	curdlan
curdlan_bm_gmp_R3	bm	gmp	R3	PE	none	curdlan
curdlan_bm_lthsc_R2	bm	lthsc	R2	PE	none	curdlan
curdlan_bm_lthsc_R3	bm	lthsc	R3	PE	none	curdlan
curdlan_bm_sthsc_R1	bm	sthsc	R1	PE	none	curdlan
sscontrol_bm_gmp_R1	bm	gmp	R1	PE	none	sscontrol
sscontrol_bm_lthsc_R2	bm	lthsc	R2	PE	none	sscontrol
sscontrol_bm_mpp_R2	bm	mpp	R2	PE	none	sscontrol
sscontrol_bm_mpp_R3	bm	mpp	R3	PE	none	sscontrol
sscontrol_bm_sthsc_R2	bm	sthsc	R2	PE	none	sscontrol
curdlan_bm_mpp_R1	bm	mpp	R1	PE	none	curdlan
curdlan_bm_mpp_R2	bm	mpp	R2	PE	none	curdlan
curdlan_bm_mpp_R3	bm	mpp	R3	PE	none	curdlan
curdlan_bm_sthsc_R3	bm	sthsc	R3	PE	none	curdlan
sscontrol_bm_mpp_R1	bm	mpp	R1	PE	none	sscontrol
sscontrol_bm_sthsc_R1	bm	sthsc	R1	PE	none	sscontrol
sscontrol_bm_sthsc_R3	bm	sthsc	R3	PE	none	sscontrol
curdlan_bm_lthsc_R1	bm	lthsc	R1	PE	none	curdlan
curdlan_bm_sthsc_R2	bm	sthsc	R2	PE	none	curdlan
sscontrol_bm_gmp_R2	bm	gmp	R2	PE	none	sscontrol
sscontrol_bm_gmp_R3	bm	gmp	R3	PE	none	sscontrol
sscontrol_bm_lthsc_R1	bm	lthsc	R1	PE	none	sscontrol
sscontrol_bm_lthsc_R3	bm	lthsc	R3	PE	none	sscontrol
